CustomerID,CustomerName,Country,Segment,Region,JoinDate
10001,Ralph Anderson,United Kingdom,Home Office,North,2017-09-30
10002,Mark Moore,Spain,Home Office,APAC,2021-02-11
10003,Barbara Ramos,Brazil,Consumer,West,2016-01-19
10004,Helen Robinson,China,Home Office,West,2021-04-17
10005,Betty Alvarez,Norway,Corporate,East,2020-01-14
10006,Peter Scott,United Kingdom,Consumer,APAC,2019-09-28
10007,Brian Scott,Italy,Consumer,Americas,2018-10-10
10008,Susan Lopez,Singapore,Consumer,North,2018-11-09
10009,Noah King,France,Home Office,South,2021-01-05
10010,Jessica Carter,Germany,Home Office,North,2022-01-18
10011,Carl Campbell,Sweden,Consumer,APAC,2015-10-12
10012,Jennifer James,Australia,Corporate,West,2017-08-11
10013,Richard Carter,Canada,Corporate,APAC,2019-02-03
10014,Charles Mitchell,South Korea,Consumer,APAC,2017-12-29
10015,Johnny Chavez,Germany,Home Office,APAC,2016-12-01
10016,Jack Sanders,Australia,Consumer,South,2019-04-04
10017,Paul Brooks,Norway,Consumer,APAC,2018-08-21
10018,Linda Robinson,France,Corporate,South,2018-01-01
10019,William Ramirez,Sweden,Home Office,North,2017-05-20
10020,Eugene Murphy,Singapore,Home Office,South,2016-08-08
10021,Carol Moore,Australia,Home Office,Europe,2021-01-16
10022,Carol Myers,Sweden,Corporate,Europe,2019-06-24
10023,Edward Lewis,Italy,Home Office,South,2016-01-08
10024,Michael Anderson,Italy,Home Office,East,2023-11-19
10025,Johnny Diaz,Denmark,Consumer,South,2019-04-13
10026,Nathan Reyes,China,Corporate,Europe,2015-02-17
10027,Johnny Castillo,Spain,Home Office,Europe,2023-06-03
10028,Paul Foster,Japan,Consumer,North,2019-11-16
10029,Charles Collins,United Kingdom,Home Office,APAC,2017-12-14
10030,Samuel Ross,Netherlands,Home Office,West,2022-01-05
10031,Joshua Brooks,China,Home Office,East,2016-09-18
10032,Dorothy Ross,Netherlands,Home Office,Americas,2020-12-12
10033,James Kim,Japan,Corporate,West,2016-04-03
10034,Edward Flores,Australia,Consumer,East,2021-05-12
10035,David Hernandez,India,Consumer,Americas,2020-12-21
10036,Thomas Taylor,India,Home Office,East,2017-12-21
10037,Patrick Cox,Brazil,Consumer,Europe,2023-06-21
10038,Harold Sanchez,United States,Corporate,APAC,2022-04-15
10039,Dorothy Cruz,China,Corporate,West,2017-10-12
10040,Mark Rodriguez,Japan,Consumer,Europe,2021-03-18
10041,Sandra Ramos,Australia,Consumer,West,2022-12-09
10042,Wayne Davis,Australia,Consumer,West,2018-09-15
10043,Elizabeth Rogers,Australia,Corporate,APAC,2020-06-11
10044,Helen Cooper,Italy,Home Office,Europe,2021-06-18
10045,Justin Young,India,Corporate,East,2016-01-22
10046,Richard James,Brazil,Corporate,South,2019-08-11
10047,Larry Sanders,France,Home Office,APAC,2022-03-31
10048,Richard Davis,Singapore,Home Office,North,2023-12-24
10049,Susan Young,Belgium,Consumer,Europe,2020-01-12
10050,Sarah Diaz,Netherlands,Corporate,South,2017-10-20
10051,Elizabeth Cruz,Norway,Consumer,West,2022-04-25
10052,Dennis Johnson,Germany,Consumer,East,2019-07-23
10053,Brandon Morris,Belgium,Corporate,West,2016-11-05
10054,Ronald Smith,Singapore,Corporate,Americas,2023-10-21
10055,Stephen Torres,Brazil,Home Office,APAC,2023-10-14
10056,Tyler James,India,Consumer,East,2018-04-30
10057,Helen Davis,Sweden,Home Office,Europe,2015-09-07
10058,Kenneth Davis,France,Home Office,South,2020-08-21
10059,Patrick Lee,France,Home Office,West,2017-01-31
10060,William Kim,Germany,Home Office,Americas,2017-08-21
10061,Jeffrey Thomas,Sweden,Consumer,Europe,2021-09-01
10062,Jennifer Richardson,Germany,Corporate,APAC,2021-07-18
10063,Aaron Gutierrez,Japan,Corporate,East,2022-07-06
10064,Kenneth Walker,Canada,Corporate,East,2022-07-14
10065,Roy Hill,Mexico,Corporate,Americas,2015-10-25
10066,Mary Collins,Denmark,Home Office,West,2015-10-28
10067,Jack Ramirez,China,Corporate,East,2018-11-30
10068,William Young,South Korea,Corporate,East,2019-11-30
10069,Dennis Price,United States,Home Office,Americas,2022-05-02
10070,Patrick Johnson,Norway,Corporate,APAC,2016-02-29
10071,Sarah King,Spain,Consumer,APAC,2021-03-16
10072,Karen Wright,United States,Home Office,East,2023-01-18
10073,Brian Clark,Canada,Home Office,South,2017-10-25
10074,Michael Lopez,Brazil,Corporate,West,2015-01-15
10075,Kevin Foster,Italy,Home Office,North,2016-10-23
10076,Eric Peterson,Brazil,Home Office,West,2016-04-03
10077,Elizabeth Ruiz,Italy,Home Office,West,2019-02-21
10078,Douglas Peterson,Italy,Corporate,East,2015-06-21
10079,Michelle Campbell,France,Corporate,East,2022-08-25
10080,Donna Bennett,Spain,Corporate,Americas,2021-04-12
10081,Ryan Richardson,Italy,Consumer,Americas,2016-10-27
10082,Daniel Evans,United Kingdom,Consumer,APAC,2018-09-22
10083,Ryan Bennett,Australia,Corporate,East,2023-10-31
10084,Susan Carter,France,Corporate,East,2017-03-28
10085,Stephen Hall,United States,Consumer,East,2015-04-07
10086,Louis Harris,Singapore,Corporate,North,2015-10-12
10087,Ruth Hall,China,Corporate,APAC,2021-01-05
10088,Kevin Brown,Spain,Corporate,East,2021-07-06
10089,Carol Jones,Spain,Home Office,South,2018-11-16
10090,Kenneth Parker,Denmark,Home Office,West,2019-04-27
10091,Henry Harris,Canada,Consumer,APAC,2019-11-22
10092,James Gutierrez,Norway,Home Office,APAC,2023-04-28
10093,Philip Sanchez,South Korea,Corporate,West,2022-06-13
10094,Kevin Richardson,Japan,Home Office,Americas,2016-05-25
10095,Joshua Cook,United States,Home Office,South,2018-08-29
10096,Jeffrey Hughes,United States,Home Office,East,2017-02-24
10097,Jacob Bennett,Singapore,Home Office,APAC,2016-12-13
10098,Arthur Reed,United States,Corporate,Europe,2015-01-02
10099,Joshua Torres,Belgium,Corporate,Americas,2021-07-03
10100,Noah Wood,Japan,Corporate,South,2019-12-17
10101,Bobby Ramirez,China,Corporate,Americas,2023-12-05
10102,Nancy James,Germany,Corporate,Europe,2022-06-12
10103,Ralph Richardson,Japan,Consumer,Americas,2023-06-04
10104,Donald Gray,United States,Consumer,Americas,2017-03-26
10105,Christopher Brown,France,Consumer,South,2021-11-08
10106,Elizabeth Collins,Brazil,Home Office,Europe,2017-03-07
10107,Timothy Murphy,Singapore,Consumer,East,2022-05-11
10108,Harold Smith,Spain,Corporate,East,2016-12-21
10109,Alexander Reyes,France,Home Office,East,2016-05-12
10110,Stephen Moore,Mexico,Home Office,Europe,2021-04-08
10111,Nathan Green,Mexico,Home Office,Americas,2023-01-25
10112,Samuel Diaz,Norway,Corporate,East,2023-05-05
10113,Justin Edwards,Canada,Consumer,Americas,2022-02-24
10114,Ruth Foster,China,Corporate,APAC,2017-09-06
10115,Ruth Cruz,Germany,Home Office,North,2017-08-18
10116,Paul Nelson,Japan,Home Office,West,2016-07-20
10117,Karen Robinson,Singapore,Home Office,East,2022-12-03
10118,Helen Rodriguez,Brazil,Corporate,North,2021-01-31
10119,Larry Turner,France,Consumer,Americas,2019-09-17
10120,Timothy Foster,Sweden,Home Office,West,2023-08-02
10121,Henry Carter,India,Consumer,North,2018-05-08
10122,Timothy Turner,Norway,Home Office,APAC,2021-02-14
10123,Noah Lewis,India,Consumer,North,2019-11-21
10124,Brandon Brown,Singapore,Corporate,APAC,2022-08-13
10125,Jeffrey Castillo,Netherlands,Corporate,East,2021-12-23
10126,Jack Brown,Singapore,Home Office,Europe,2022-06-08
10127,Patricia Hernandez,Brazil,Consumer,Americas,2020-03-06
10128,Lisa Miller,Canada,Corporate,North,2017-05-16
10129,Stephen Adams,Japan,Corporate,North,2023-06-08
10130,Jacob Allen,Germany,Corporate,West,2023-05-27
10131,Dennis Miller,South Korea,Consumer,APAC,2015-10-09
10132,Eugene Garcia,United Kingdom,Consumer,East,2015-03-25
10133,Carl Martin,Australia,Consumer,South,2022-07-05
10134,Joseph Reed,Belgium,Corporate,APAC,2017-11-15
10135,Dorothy Perez,Denmark,Home Office,APAC,2023-01-21
10136,Joseph Jimenez,Netherlands,Corporate,West,2021-06-28
10137,Patricia Flores,Sweden,Home Office,South,2019-06-13
10138,Betty Martinez,Sweden,Home Office,Americas,2022-01-13
10139,Donna Wilson,United States,Home Office,Europe,2016-05-10
10140,Aaron Garcia,South Korea,Home Office,South,2022-06-02
